,Quarter,Time,Tm,Detail,HOU,ATL
0,1.0,8:14,Falcons,Morten Andersen 28 yard field goal,0,3
1,1.0,5:34,Texans,Andre' Davis 35 yard pass from Matt Schaub (Kris Brown kick),7,3
2,1.0,1:13,Falcons,Michael Jenkins 5 yard pass from Joey Harrington (Morten Andersen kick),7,10
3,2.0,8:22,Falcons,Michael Jenkins 7 yard pass from Joey Harrington (Morten Andersen kick),7,17
4,2.0,1:52,Falcons,Morten Andersen 22 yard field goal,7,20
5,2.0,0:05,Texans,Kris Brown 42 yard field goal,10,20
6,3.0,10:13,Texans,Kris Brown 37 yard field goal,13,20
7,3.0,4:00,Falcons,Morten Andersen 36 yard field goal,13,23
8,4.0,14:52,Texans,Kris Brown 19 yard field goal,16,23
9,4.0,8:16,Falcons,Morten Andersen 46 yard field goal,16,26
