,Quarter,Time,Tm,Detail,CAR,MIN
0,2.0,,Vikings,Cris Carter 6 yard pass from Warren Moon (Scott Sisson kick),0,7
1,3.0,,Vikings,Cris Carter 3 yard pass from Warren Moon (Scott Sisson kick),0,14
2,3.0,,Panthers,Anthony Johnson 4 yard rush (John Kasay kick),7,14
3,3.0,,Panthers,"Safety, Bates blocked punt out of end zone",9,14
4,4.0,,Panthers,John Kasay 22 yard field goal,12,14
