,Quarter,Tm,Detail,NYG,DAL
0,1.0,Cowboys,Rafael Septien 38 yard field goal,0,3
1,2.0,Cowboys,Tony Hill 46 yard pass from Danny White (Rafael Septien kick),0,10
2,2.0,Cowboys,Butch Johnson 29 yard pass from Danny White (Rafael Septien kick),0,17
3,4.0,Giants,Joe Danelo 51 yard field goal,3,17
4,4.0,Cowboys,John Dutton 38 yard interception return (Rafael Septien kick),3,24
