,Quarter,Time,Tm,Detail,SFO,ARI
0,1.0,6:41,49ers,Jerry Rice 13 yard pass from Steve Young (Wade Richey kick),7,0
1,1.0,5:47,49ers,Charlie Garner 11 yard rush (Wade Richey kick),14,0
2,2.0,9:01,49ers,Wade Richey 33 yard field goal,17,0
3,3.0,9:45,Cardinals,Mario Bates 1 yard rush (Chris Jacke kick),17,7
4,3.0,1:09,Cardinals,Chris Jacke 43 yard field goal,17,10
5,4.0,1:42,49ers,Lawrence Phillips 68 yard rush (Wade Richey kick),24,10
