,Quarter,Time,Tm,Detail,MIA,CLE
0,1.0,12:46,Browns,Jason Wright 1 yard rush (Phil Dawson kick),0,7
1,1.0,6:17,Dolphins,Jay Feely 43 yard field goal,3,7
2,1.0,0:09,Browns,Derek Anderson 1 yard rush (Phil Dawson kick),3,14
3,2.0,8:50,Browns,Phil Dawson 40 yard field goal,3,17
4,2.0,6:13,Browns,Braylon Edwards 24 yard pass from Derek Anderson (Phil Dawson kick),3,24
5,2.0,1:03,Dolphins,David Martin 14 yard pass from Cleo Lemon (Jay Feely kick),10,24
6,2.0,0:00,Browns,Phil Dawson 20 yard field goal,10,27
7,3.0,7:57,Dolphins,Cleo Lemon 5 yard rush (Jay Feely kick),17,27
8,3.0,2:44,Dolphins,Cleo Lemon 1 yard rush (Jay Feely kick),24,27
9,4.0,10:51,Browns,Braylon Edwards 5 yard pass from Derek Anderson (Phil Dawson kick),24,34
10,4.0,4:34,Browns,Braylon Edwards 16 yard pass from Derek Anderson (Phil Dawson kick),24,41
11,4.0,1:34,Dolphins,David Martin 4 yard pass from Cleo Lemon (Jay Feely kick),31,41
