,Quarter,Time,Tm,Detail,CAR,ATL
0,2.0,10:53,Panthers,John Kasay 45 yard field goal,3,0
1,2.0,9:19,Falcons,Roddy White 69 yard pass from Joey Harrington (Morten Andersen kick),3,7
2,2.0,4:32,Panthers,DeShaun Foster 13 yard pass from Jake Delhomme (John Kasay kick),10,7
3,2.0,0:11,Falcons,Morten Andersen 24 yard field goal,10,10
4,3.0,9:09,Falcons,Alge Crumpler 13 yard pass from Joey Harrington (Morten Andersen kick),10,17
5,3.0,7:13,Panthers,Jeff King 5 yard pass from Jake Delhomme (John Kasay kick),17,17
6,3.0,0:47,Panthers,DeShaun Foster 10 yard rush (John Kasay kick),24,17
7,4.0,7:36,Panthers,John Kasay 49 yard field goal,27,17
8,4.0,3:03,Falcons,Morten Andersen 25 yard field goal,27,20
