,Quarter,Time,Tm,Detail,STL,DET
0,1.0,3:57,Rams,Josh Brown 41 yard field goal,3,0
1,2.0,12:07,Lions,"Safety, James Butler tackled in end zone by Kevin Smith for a Safety.",3,2
2,2.0,0:54,Rams,Daniel Fells 36 yard pass from Josh Brown (Josh Brown kick),10,2
3,4.0,13:51,Lions,Matthew Stafford 4 yard rush (Maurice Morris pass from Matthew Stafford),10,10
4,4.0,1:38,Rams,Steven Jackson 25 yard rush (Josh Brown kick),17,10
