,Quarter,Tm,Detail,CHI,IND
0,1.0,Colts,Jessie Hester 4 yard pass from Jeff George (Dean Biasucci kick),0,7
1,1.0,Bears,Jim Harbaugh 6 yard rush (Kevin Butler kick),7,7
2,2.0,Bears,Kevin Butler 21 yard field goal,10,7
3,2.0,Colts,Dean Biasucci 56 yard field goal,10,10
4,3.0,Bears,Brad Muster 13 yard pass from Jim Harbaugh (Kevin Butler kick),17,10
5,3.0,Bears,Anthony Morgan 84 yard pass from Jim Harbaugh (Kevin Butler kick),24,10
6,4.0,Colts,Bill Brooks 9 yard pass from Jeff George (Dean Biasucci kick),24,17
7,4.0,Bears,Brad Muster 9 yard rush (Kevin Butler kick),31,17
