,Quarter,Tm,Detail,CRD,NYG
0,1.0,Cardinals,Pat Harder 71 yard rush (Pat Harder kick),7,0
1,1.0,Giants,Ray Poole 27 yard pass from Charlie Conerly (Len Younce kick),7,7
2,1.0,Cardinals,Billy Dewell 26 yard pass from Ray Mallouf (Pat Harder kick),14,7
3,2.0,Cardinals,Mal Kutner 45 yard pass from Ray Mallouf (Pat Harder kick),21,7
4,2.0,Cardinals,Babe Dimancheff 26 yard rush (Pat Harder kick),28,7
5,2.0,Giants,Joe Johnson 6 yard pass from Charlie Conerly (Len Younce kick),28,14
6,2.0,Cardinals,Mal Kutner 45 yard pass from Ray Mallouf (Pat Harder kick),35,14
7,2.0,Cardinals,Jerry Davis 70 yard punt return (Pat Harder kick),42,14
8,3.0,Giants,Bill Swiacki 13 yard pass from Charlie Conerly (Len Younce kick),42,21
9,3.0,Cardinals,Charley Trippi 7 yard pass from Ray Mallouf (Pat Harder kick),49,21
10,4.0,Giants,Bill Swiacki 20 yard pass from Charlie Conerly (Len Younce kick),49,28
11,4.0,Cardinals,Elmer Angsman 13 yard rush (Pat Harder kick),56,28
12,4.0,Giants,Charlie Conerly 6 yard rush (Len Younce kick),56,35
13,4.0,Cardinals,Mal Kutner 20 yard pass from Charley Eikenberg (Pat Harder kick),63,35
