,Quarter,Time,Tm,Detail,WAS,PHI
0,1.0,,Eagles,Randall Cunningham 20 yard rush (Eddie Murray kick),0,7
1,2.0,,Redskins,Tydus Winans 27 yard pass from Heath Shuler,6,7
2,3.0,,Redskins,Tydus Winans 41 yard pass from Heath Shuler (Desmond Howard pass from Heath Shuler),14,7
3,3.0,,Eagles,Fred Barnett 49 yard pass from Randall Cunningham (Eddie Murray kick),14,14
4,3.0,,Redskins,Chip Lohmiller 47 yard field goal,17,14
5,4.0,,Eagles,Herschel Walker 2 yard rush (Eddie Murray kick),17,21
