,Quarter,Tm,Detail,SDG,SEA
0,1.0,Seahawks,Efren Herrera 34 yard field goal,0,3
1,2.0,Chargers,Clarence Williams 1 yard rush (Rolf Benirschke kick),7,3
2,2.0,Chargers,Rolf Benirschke 31 yard field goal,10,3
3,2.0,Seahawks,Sherman Smith 4 yard rush (Efren Herrera kick),10,10
4,2.0,Chargers,Rolf Benirschke 42 yard field goal,13,10
5,3.0,Chargers,Rolf Benirschke 22 yard field goal,16,10
6,3.0,Chargers,Clarence Williams 13 yard rush (Rolf Benirschke kick),23,10
7,4.0,Chargers,Mike Thomas 8 yard rush (Rolf Benirschke kick),30,10
8,4.0,Chargers,Rolf Benirschke 23 yard field goal,33,10
9,4.0,Seahawks,Sherman Smith 6 yard rush,33,16
