,Quarter,Time,Tm,Detail,BAL,PIT
0,1,6:44,Steelers,Jeff Reed 49 yard field goal,0,3
1,1,0:18,Ravens,Matt Stover 33 yard field goal,3,3
2,2,3:48,Ravens,Matt Stover 20 yard field goal,6,3
3,2,0:17,Ravens,Daniel Wilcox 4 yard pass from Joe Flacco (Matt Stover kick),13,3
4,3,4:09,Steelers,Santonio Holmes 38 yard pass from Ben Roethlisberger (Jeff Reed kick),13,10
5,3,3:54,Steelers,LaMarr Woodley 7 yard defensive fumble return (Jeff Reed kick),13,17
6,4,9:19,Steelers,Jeff Reed 19 yard field goal,13,20
7,4,4:02,Ravens,Le'Ron McClain 2 yard rush (Matt Stover kick),20,20
8,OT,8:55,Steelers,Jeff Reed 46 yard field goal,20,23
