,Quarter,Tm,Detail,RAM,DAL
0,1.0,Cowboys,Fred Cone 32 yard field goal,0,3
1,1.0,Rams,Red Phillips 61 yard pass from Frank Ryan (Danny Villanueva kick),7,3
2,1.0,Rams,Danny Villanueva 9 yard field goal,10,3
3,2.0,Rams,Joe Marconi 6 yard rush (Danny Villanueva kick),17,3
4,2.0,Cowboys,Walt Kowalczyk 21 yard rush (Fred Cone kick),17,10
5,2.0,Rams,Red Phillips 5 yard pass from Frank Ryan (Danny Villanueva kick),24,10
6,2.0,Cowboys,Fred Cone 41 yard field goal,24,13
7,3.0,Rams,Joe Marconi 75 yard rush (Danny Villanueva kick),31,13
8,4.0,Rams,Carroll Dale 40 yard pass from Billy Wade (Danny Villanueva kick),38,13
