,Quarter,Time,Tm,Detail,MIN,SDG
0,1.0,11:47,Chargers,David Boston 3 yard pass from Doug Flutie (Steve Christie kick),0,7
1,1.0,7:51,Chargers,LaDainian Tomlinson 73 yard rush (Steve Christie kick),0,14
2,1.0,2:09,Vikings,Randy Moss 4 yard pass from Daunte Culpepper (Aaron Elling kick),7,14
3,2.0,11:36,Chargers,Doug Flutie 3 yard rush (Steve Christie kick),7,21
4,2.0,4:42,Vikings,Nate Burleson 19 yard pass from Daunte Culpepper (Aaron Elling kick),14,21
5,2.0,0:25,Chargers,Antonio Gates 4 yard pass from Doug Flutie (Steve Christie kick),14,28
6,3.0,1:36,Chargers,LaDainian Tomlinson 1 yard rush (Steve Christie kick),14,35
7,4.0,14:48,Vikings,Moe Williams 31 yard pass from Daunte Culpepper (Aaron Elling kick),21,35
8,4.0,8:11,Chargers,Doug Flutie 13 yard rush (Steve Christie kick),21,42
9,4.0,4:20,Vikings,Moe Williams 2 yard pass from Daunte Culpepper (Aaron Elling kick),28,42
