,Quarter,Tm,Detail,RAI,SDG
0,1.0,Chargers,Kellen Winslow 9 yard pass from Dan Fouts (Vince Abbott kick),0,7
1,2.0,Chargers,Vince Abbott 38 yard field goal,0,10
2,2.0,Chargers,Vince Abbott 47 yard field goal,0,13
3,2.0,Chargers,Vince Abbott 39 yard field goal,0,16
4,4.0,Raiders,Dokie Williams 5 yard pass from Marc Wilson (Chris Bahr kick),7,16
5,4.0,Raiders,James Lofton 47 yard pass from Marc Wilson (Chris Bahr kick),14,16
