,Quarter,Time,Tm,Detail,TAM,ATL
0,1.0,,Buccaneers,Mike Alstott 47 yard rush (Michael Husted kick),7,0
1,2.0,,Falcons,Bert Emanuel 30 yard pass from Chris Chandler (Morten Andersen kick),7,7
2,2.0,,Buccaneers,Warrick Dunn 24 yard pass from Trent Dilfer (Michael Husted kick),14,7
3,2.0,3:30,Buccaneers,Michael Husted 54 yard field goal,17,7
4,3.0,3:30,Falcons,Morten Andersen 34 yard field goal,17,10
5,3.0,3:30,Buccaneers,Dave Moore 14 yard pass from Trent Dilfer (Michael Husted kick),24,10
6,4.0,3:30,Buccaneers,Warrick Dunn 30 yard rush (Michael Husted kick),31,10
