,Quarter,Tm,Detail,CLE,GNB
0,3.0,Packers,Tiny Cahoon blocked punt recovery in end zone,0,6
1,3.0,Packers,Rex Enright 9 yard rush,0,12
2,4.0,Bulldogs,Al Bloodgood 50 yard pass from Benny Friedman (Al Bloodgood kick),7,12
