,Quarter,Time,Tm,Detail,KAN,NWE
0,1.0,12:43,Patriots,Julian Edelman 37 yard pass from Tom Brady (Nick Folk kick),0,7
1,1.0,7:17,Chiefs,Harrison Butker 48 yard field goal,3,7
2,2.0,13:14,Chiefs,Mecole Hardman 48 yard pass from Patrick Mahomes (Harrison Butker kick),10,7
3,2.0,9:37,Chiefs,Travis Kelce 4 yard rush (Harrison Butker kick),17,7
4,2.0,1:02,Chiefs,Harrison Butker 31 yard field goal,20,7
5,3.0,8:50,Chiefs,Harrison Butker 41 yard field goal,23,7
6,3.0,4:30,Patriots,Brandon Bolden 10 yard rush (run failed),23,13
7,4.0,11:45,Patriots,Nick Folk 29 yard field goal,23,16
