,Quarter,Time,Tm,Detail,SEA,HOU
0,1.0,,Seahawks,John Kasay 40 yard field goal,3,0
1,2.0,,Seahawks,Chris Warren 33 yard rush (John Kasay kick),10,0
2,3.0,,Seahawks,Mack Strong 13 yard rush,16,0
3,4.0,,Oilers,Webster Slaughter 36 yard pass from Billy Joe Tolliver (Haywood Jeffires pass from Billy Joe Tolliver),16,8
4,4.0,,Oilers,Ernest Givins 78 yard punt return (pass failed),16,14
