,Quarter,Time,Tm,Detail,SEA,NWE
0,1.0,7:44,Patriots,Corey Dillon 1 yard rush (Adam Vinatieri kick),0,7
1,1.0,2:14,Patriots,Adam Vinatieri 40 yard field goal,0,10
2,2.0,12:32,Patriots,David Patten 6 yard pass from Tom Brady (Adam Vinatieri kick),0,17
3,2.0,9:35,Seahawks,Josh Brown 33 yard field goal,3,17
4,2.0,3:07,Patriots,Adam Vinatieri 39 yard field goal,3,20
5,2.0,0:34,Seahawks,Josh Brown 40 yard field goal,6,20
6,3.0,9:01,Seahawks,Josh Brown 28 yard field goal,9,20
7,4.0,11:05,Seahawks,Shaun Alexander 9 yard rush (Jerramy Stevens pass from Matt Hasselbeck ),17,20
8,4.0,6:43,Patriots,Adam Vinatieri 30 yard field goal,17,23
9,4.0,3:01,Seahawks,Josh Brown 31 yard field goal,20,23
10,4.0,1:55,Patriots,Corey Dillon 9 yard rush (Adam Vinatieri kick),20,30
