,Quarter,Tm,Detail,CHI,DET
0,1.0,Lions,Jim Martin 32 yard field goal,0,3
1,1.0,Lions,Terry Barr 61 yard pass from Earl Morrall (Wayne Walker kick),0,10
2,2.0,Bears,Bo Farrington 98 yard pass from Billy Wade (Roger LeClerc kick),7,10
3,3.0,Bears,Roger LeClerc 50 yard field goal,10,10
4,3.0,Lions,Pat Studstill 100 yard kickoff return (Wayne Walker kick),10,17
5,4.0,Bears,Mike Ditka 37 yard pass from Billy Wade (Roger LeClerc kick),17,17
6,4.0,Bears,Billy Wade 1 yard rush (Roger LeClerc kick),24,17
7,4.0,Bears,Willie Galimore 53 yard rush (Roger LeClerc kick),31,17
