,Quarter,Tm,Detail,BKN,DET
0,1.0,Lions,Ernie Caddel 47 yard rush (Dutch Clark kick),0,7
1,2.0,Lions,Regis Monahan 26 yard field goal,0,10
2,2.0,Lions,Bill Shepherd 4 yard rush (Bill Shepherd kick),0,17
3,2.0,Lions,Chuck Hanneman 50 yard rush,0,23
4,3.0,Lions,Vern Huffman 100 yard interception return (Bill Shepherd kick),0,30
