,Quarter,Tm,Detail,MIA,BOS
0,1.0,Dolphins,Karl Kremser 17 yard field goal,3,0
1,2.0,Dolphins,Bill Stanfill 15 yard interception return (Karl Kremser kick),10,0
2,4.0,Patriots,Carl Garrett 80 yard rush (Gino Cappelletti kick),10,7
3,4.0,Patriots,Gino Cappelletti 17 yard field goal,10,10
4,4.0,Dolphins,Larry Csonka 54 yard rush (Karl Kremser kick),17,10
5,4.0,Patriots,Bill Rademacher 15 yard pass from Mike Taliaferro (pass failed),17,16
