,Quarter,Time,Tm,Detail,OAK,KAN
0,1.0,,Chiefs,Pete Stoyanovich 44 yard field goal,0,3
1,1.0,,Chiefs,Donnell Bennett 9 yard rush (Pete Stoyanovich kick),0,10
2,2.0,,Chiefs,Pete Stoyanovich 27 yard field goal,0,13
3,2.0,,Chiefs,Rich Gannon 5 yard rush (Pete Stoyanovich kick),0,20
4,4.0,,Chiefs,Pete Stoyanovich 40 yard field goal,0,23
5,4.0,,Chiefs,Tony Richardson 2 yard pass from Rich Gannon (Pete Stoyanovich kick),0,30
