,Quarter,Tm,Detail,DAL,DET
0,1.0,Cowboys,Emmitt Smith 7 yard rush (Lin Elliott kick),7,0
1,1.0,Cowboys,Emmitt Smith 1 yard rush (Lin Elliott kick),14,0
2,2.0,Lions,Jason Hanson 36 yard field goal,14,3
3,2.0,Cowboys,Lin Elliott 25 yard field goal,17,3
4,2.0,Cowboys,Lin Elliott 42 yard field goal,20,3
5,3.0,Cowboys,Emmitt Smith 1 yard rush (Lin Elliott kick),27,3
6,3.0,Cowboys,Michael Irvin 15 yard pass from Troy Aikman (Lin Elliott kick),34,3
7,4.0,Cowboys,Lin Elliott 30 yard field goal,37,3
