,Quarter,Time,Tm,Detail,DAL,PHI
0,1.0,,Eagles,Gary Anderson 46 yard field goal,0,3
1,1.0,,Eagles,Ricky Watters 2 yard rush (Gary Anderson kick),0,10
2,1.0,,Cowboys,Eric Bjornson 5 yard pass from Troy Aikman (Chris Boniol kick),7,10
3,2.0,,Cowboys,Emmitt Smith 5 yard rush (Chris Boniol kick),14,10
4,2.0,,Cowboys,Chris Boniol 46 yard field goal,17,10
5,2.0,,Cowboys,Chris Boniol 30 yard field goal,20,10
6,3.0,,Eagles,Rhett Hall 32 yard defensive fumble return (Gary Anderson kick),20,17
7,3.0,,Cowboys,Chris Boniol 21 yard field goal,23,17
8,4.0,,Eagles,"Safety, Jett ran out of end zone",23,19
