,Quarter,Tm,Detail,IND,NWE
0,2.0,Patriots,Bob Perryman 1 yard rush (Teddy Garcia kick),0,7
1,2.0,Colts,Eric Dickerson 1 yard rush (Dean Biasucci kick),7,7
2,4.0,Patriots,Stanley Morgan 26 yard pass from Doug Flutie (Teddy Garcia kick),7,14
3,4.0,Colts,Dean Biasucci 20 yard field goal,10,14
4,4.0,Colts,Bill Brooks 48 yard pass from Chris Chandler (Dean Biasucci kick),17,14
5,4.0,Patriots,Doug Flutie 13 yard rush (Teddy Garcia kick),17,21
