,Quarter,Time,Tm,Detail,IND,MIA
0,1.0,,Dolphins,Pete Stoyanovich 33 yard field goal,0,3
1,1.0,,Colts,Don Majkowski 1 yard rush (Dean Biasucci kick),7,3
2,3.0,,Dolphins,Pete Stoyanovich 20 yard field goal,7,6
3,3.0,,Colts,Marshall Faulk 1 yard rush (Dean Biasucci kick),14,6
4,4.0,,Dolphins,Irving Spikes 7 yard rush (pass failed),14,12
5,4.0,7:41,Colts,Ray Buchanan 28 yard interception return (Dean Biasucci kick),21,12
6,4.0,7:41,Dolphins,O.J. McDuffie 28 yard pass from Dan Marino (Pete Stoyanovich kick),21,19
7,4.0,7:41,Dolphins,Pete Stoyanovich 34 yard field goal,21,22
