,Quarter,Tm,Detail,DAY,CAN
0,3,Bulldogs,Ben Jones 3 yard rush (Pete Henry kick),0,7
1,4,Bulldogs,Giff Zimmerman 8 yard pass from Pete Henry (Pete Henry kick),0,14
