,Quarter,Tm,Detail,TAM,CHI
0,1.0,Bears,Brad Muster 1 yard rush (Kevin Butler kick),0,7
1,2.0,Bears,Brad Muster 1 yard pass from Jim Harbaugh (Kevin Butler kick),0,14
2,2.0,Buccaneers,Courtney Hawkins 12 yard pass from Vinny Testaverde (Ken Willis kick),7,14
3,3.0,Bears,Anthony Morgan 83 yard pass from Jim Harbaugh (Kevin Butler kick),7,21
4,4.0,Buccaneers,Reggie Cobb 1 yard rush (Ken Willis kick),14,21
5,4.0,Bears,Kevin Butler 26 yard field goal,14,24
6,4.0,Bears,Darren Lewis 7 yard rush (Kevin Butler kick),14,31
