,Quarter,Tm,Detail,PIT,CHI
0,1.0,Bears,Rick Casares 3 yard rush,0,6
1,2.0,Bears,Rick Casares 1 yard rush (John Aveni kick),0,13
2,2.0,Bears,Rick Casares 1 yard rush (John Aveni kick),0,20
3,2.0,Steelers,Tom Tracy 2 yard rush (Bobby Layne kick),7,20
4,3.0,Bears,Rick Casares 1 yard rush (John Aveni kick),7,27
5,3.0,Steelers,Larry Krutko 7 yard rush (Bobby Layne kick),14,27
6,4.0,Steelers,Buddy Dial 25 yard pass from Bobby Layne (Bobby Layne kick),21,27
