,Quarter,Tm,Detail,ATL,SFO
0,1.0,Falcons,Mick Luckhurst 22 yard field goal,3,0
1,2.0,49ers,Russ Francis 5 yard pass from Joe Montana (Ray Wersching kick),3,7
2,2.0,49ers,Mike Wilson 21 yard pass from Joe Montana (Ray Wersching kick),3,14
3,4.0,Falcons,"Safety, Case tackled Runager in end zone",5,14
