,Quarter,Tm,Detail,PHO,PHI
0,1.0,Cardinals,Roy Green 6 yard pass from Gary Hogeboom (Al Del Greco kick),7,0
1,1.0,Eagles,Randall Cunningham 14 yard rush (Roger Ruzek kick),7,7
2,2.0,Eagles,Cris Carter 22 yard pass from Roger Ruzek (Roger Ruzek kick),7,14
3,2.0,Eagles,Robert Drummond 4 yard pass from Randall Cunningham (Roger Ruzek kick),7,21
4,2.0,Cardinals,Roy Green 36 yard pass from Gary Hogeboom (Al Del Greco kick),14,21
5,3.0,Eagles,Roger Ruzek 39 yard field goal,14,24
6,4.0,Eagles,Heath Sherman 7 yard rush (Roger Ruzek kick),14,31
