,Quarter,Tm,Detail,NYY,CHI
0,1,Bears,Buck White 1 yard rush (Paddy Driscoll kick),0,7
1,2,Bears,Laurie Walquist 35 yard rush (Milt Romney pass from Dick Sturtridge),0,14
2,3,Bears,Milt Romney 25 yard pass from Bill Senn,0,20
3,4,Bears,Bill Senn 10 yard rush (Dick Sturtridge run),0,27
