,Quarter,Tm,Detail,BAL,RAM
0,1.0,Colts,Jim Martin 39 yard field goal,3,0
1,1.0,Rams,Art Perkins 1 yard rush (Danny Villanueva kick),3,7
2,2.0,Colts,Jerry Hill 20 yard rush (Jim Martin kick),10,7
3,2.0,Rams,Art Perkins 1 yard rush (Danny Villanueva kick),10,14
4,2.0,Colts,Jim Martin 22 yard field goal,13,14
5,3.0,Colts,Jim Martin 41 yard field goal,16,14
6,3.0,Rams,Danny Villanueva 13 yard field goal,16,17
