,Quarter,Tm,Detail,STL,MIN
0,1.0,Cardinals,Terry Metcalf 2 yard pass from Jim Hart (Jim Bakken kick),7,0
1,2.0,Cardinals,Wayne Morris 4 yard pass from Jim Hart (Jim Bakken kick),14,0
2,2.0,Cardinals,Wayne Morris 21 yard rush,20,0
3,3.0,Cardinals,Terry Metcalf 11 yard rush (Jim Bakken kick),27,0
4,3.0,Vikings,Sammy White 9 yard pass from Fran Tarkenton (Fred Cox kick),27,7
