,Quarter,Time,Tm,Detail,TAM,SDG
0,1.0,,Chargers,Charlie Jones 63 yard pass from Stan Humphries (John Carney kick),0,7
1,1.0,4:14,Chargers,Leonard Russell 14 yard rush (John Carney kick),0,14
2,1.0,4:14,Buccaneers,Michael Husted 33 yard field goal,3,14
3,2.0,4:14,Buccaneers,Mike Alstott 4 yard rush (Michael Husted kick),10,14
4,2.0,4:14,Buccaneers,Michael Husted 29 yard field goal,13,14
5,3.0,4:14,Chargers,John Carney 42 yard field goal,13,17
6,4.0,4:14,Buccaneers,Michael Husted 27 yard field goal,16,17
7,4.0,4:14,Buccaneers,Errict Rhett 1 yard rush (pass failed),22,17
8,4.0,4:14,Buccaneers,Michael Husted 19 yard field goal,25,17
