,Quarter,Time,Tm,Detail,TEN,BAL
0,1.0,,Ravens,Michael Jackson 8 yard pass from Eric Zeier (Matt Stover kick),0,7
1,1.0,,Oilers,Al Del Greco 25 yard field goal,3,7
2,2.0,,Oilers,Al Del Greco 40 yard field goal,6,7
3,2.0,,Ravens,Eric Green 37 yard pass from Eric Zeier (Matt Stover kick),6,14
4,3.0,,Oilers,Steve McNair 15 yard rush (run failed),12,14
5,4.0,12:53,Ravens,Derrick Alexander 19 yard pass from Eric Zeier (Matt Stover kick),12,21
6,4.0,12:53,Oilers,Steve McNair 1 yard rush (Al Del Greco kick),19,21
