,Quarter,Tm,Detail,DEN,IND
0,1.0,Broncos,Sammy Winder 2 yard rush,6,0
1,2.0,Colts,Raul Allegre 28 yard field goal,6,3
2,2.0,Broncos,Rich Karlis 32 yard field goal,9,3
3,3.0,Broncos,Rich Karlis 30 yard field goal,12,3
4,4.0,Broncos,Rich Karlis 18 yard field goal,15,3
5,4.0,Colts,Matt Bouza 19 yard pass from Mike Pagel (Raul Allegre kick),15,10
