,Quarter,Tm,Detail,CLE,CIN
0,2.0,Browns,Milt Morin 7 yard pass from Mike Phipps (Don Cockroft kick),7,0
1,2.0,Bengals,Boobie Clark 1 yard rush (Horst Muhlmann kick),7,7
2,3.0,Bengals,Isaac Curtis 19 yard pass from Ken Anderson (Horst Muhlmann kick),7,14
3,3.0,Bengals,"Safety, Phipps tackled in end zone by Carpenter",7,16
4,3.0,Bengals,Bob Trumpy 25 yard pass from Ken Anderson (Horst Muhlmann kick),7,23
5,4.0,Bengals,Lemar Parrish 62 yard punt return (Horst Muhlmann kick),7,30
6,4.0,Bengals,Horst Muhlmann 32 yard field goal,7,33
