,Quarter,Tm,Detail,CLE,IND
0,1.0,Colts,Rodney Culver 1 yard rush (Dean Biasucci kick),0,7
1,3.0,Browns,Matt Stover 20 yard field goal,3,7
2,3.0,Colts,Reggie Langhorne 26 yard pass from Mark Herrmann (Dean Biasucci kick),3,14
