,Quarter,Time,Tm,Detail,CHI,DAL
0,1.0,,Bears,Jeff Jaeger 21 yard field goal,3,0
1,2.0,,Cowboys,Anthony Miller 6 yard pass from Troy Aikman (Richie Cunningham kick),3,7
2,3.0,,Cowboys,Richie Cunningham 33 yard field goal,3,10
3,3.0,,Cowboys,Michael Irvin 26 yard pass from Troy Aikman (Richie Cunningham kick),3,17
4,3.0,,Cowboys,Deion Sanders 83 yard punt return (Richie Cunningham kick),3,24
5,4.0,,Cowboys,Richie Cunningham 23 yard field goal,3,27
