,Quarter,Tm,Detail,NOR,SDG
0,1.0,Chargers,Anthony Miller 47 yard pass from Babe Laufenberg (Vince Abbott kick),0,7
1,1.0,Chargers,Roy Bennett special teams fumble recovery in end zone (Vince Abbott kick),0,14
2,2.0,Saints,Morten Andersen 27 yard field goal,3,14
3,2.0,Saints,Morten Andersen 35 yard field goal,6,14
4,2.0,Saints,Lonzell Hill 19 yard pass from Bobby Hebert (Morten Andersen kick),13,14
5,3.0,Saints,Eric Martin 10 yard pass from Bobby Hebert (Morten Andersen kick),20,14
6,3.0,Chargers,Vince Abbott 35 yard field goal,20,17
7,4.0,Saints,Morten Andersen 34 yard field goal,23,17
