,Quarter,Tm,Detail,CAN,HRT
0,3.0,Blues,Grat O'Connell interception in end zone (Jack Perrin kick),0,7
1,4.0,Blues,Jack Perrin unknown yard field goal,0,10
2,4.0,Blues,Lou Smyth unknown yard rush,0,16
3,4.0,Bulldogs,Harry Robb unknown yard rush (Harry Robb kick),7,16
