,Quarter,Tm,Detail,DAL,NOR
0,1.0,Saints,Dalton Hilliard 4 yard rush (Morten Andersen kick),0,7
1,2.0,Saints,Craig Heyward 1 yard rush (Morten Andersen kick),0,14
2,2.0,Saints,Derrick Shepard 56 yard punt return (Morten Andersen kick),0,21
3,4.0,Saints,Paul Frazier 1 yard rush (Morten Andersen kick),0,28
