,Quarter,Tm,Detail,NWE,ATL
0,1.0,Patriots,John Smith 36 yard field goal,3,0
1,2.0,Patriots,John Smith 32 yard field goal,6,0
2,3.0,Patriots,John Smith 29 yard field goal,9,0
3,3.0,Falcons,Wallace Francis 15 yard pass from Steve Bartkowski (Fred Steinfort kick),9,7
4,4.0,Falcons,Fred Steinfort 25 yard field goal,9,10
5,4.0,Patriots,Stanley Morgan 33 yard pass from Steve Grogan (John Smith kick),16,10
