,Quarter,Tm,Detail,RAM,NYG
0,1.0,Rams,Les Richter 30 yard field goal,3,0
1,1.0,Giants,Bob Schnelker 68 yard pass from Charlie Conerly (Ben Agajanian kick),3,7
2,2.0,Rams,Dan Towler 21 yard rush (Les Richter kick),10,7
3,2.0,Giants,Ben Agajanian 33 yard field goal,10,10
4,2.0,Giants,Ben Agajanian 18 yard field goal,10,13
5,2.0,Giants,Ben Agajanian 37 yard field goal,10,16
6,3.0,Rams,Tom Fears 27 yard pass from Norm Van Brocklin (Les Richter kick),17,16
