,Quarter,Tm,Detail,NOR,ATL
0,1.0,Falcons,Haskel Stanback 3 yard rush (Tim Mazzetti kick),0,7
1,1.0,Saints,Larry Hardy 71 yard pass from Archie Manning (Steve Mike-Mayer kick),7,7
2,2.0,Falcons,Tim Mazzetti 39 yard field goal,7,10
3,2.0,Saints,Chuck Muncie 28 yard rush (Steve Mike-Mayer kick),14,10
4,3.0,Saints,Steve Mike-Mayer 18 yard field goal,17,10
5,4.0,Falcons,Tim Mazzetti 28 yard field goal,17,13
6,4.0,Falcons,Jim Mitchell 1 yard pass from Steve Bartkowski (Tim Mazzetti kick),17,20
