,Quarter,Tm,Detail,HOU,NWE
0,1.0,Patriots,Greg Davis 30 yard field goal,0,3
1,1.0,Patriots,Marvin Allen 1 yard rush (Greg Davis kick),0,10
2,2.0,Oilers,Tony Zendejas 46 yard field goal,3,10
3,3.0,Patriots,Greg Davis 34 yard field goal,3,13
4,3.0,Patriots,John Stephens 11 yard rush (Greg Davis kick),3,20
5,4.0,Oilers,Tony Zendejas 22 yard field goal,6,20
6,4.0,Patriots,Greg Davis 43 yard field goal,6,23
7,4.0,Oilers,Drew Hill 20 yard pass from Warren Moon (Tony Zendejas kick),13,23
