,Quarter,Tm,Detail,BAL,DEN
0,1.0,Colts,Raul Allegre 42 yard field goal,3,0
1,2.0,Colts,Raul Allegre 55 yard field goal,6,0
2,2.0,Colts,Raul Allegre 41 yard field goal,9,0
3,2.0,Colts,Bernard Henry 40 yard pass from Mike Pagel (Raul Allegre kick),16,0
4,3.0,Colts,Raul Allegre 26 yard field goal,19,0
5,4.0,Broncos,Clint Sampson 21 yard pass from John Elway (Rich Karlis kick),19,7
6,4.0,Broncos,Jesse Myles 26 yard pass from John Elway (Rich Karlis kick),19,14
7,4.0,Broncos,Gerald Willhite 26 yard pass from John Elway (Rich Karlis kick),19,21
