,Quarter,Tm,Detail,STL,CIN
0,1.0,Bengals,Essex Johnson 5 yard rush (Horst Muhlmann kick),0,7
1,1.0,Cardinals,Jim Bakken 30 yard field goal,3,7
2,2.0,Cardinals,Donny Anderson 2 yard rush (Jim Bakken kick),10,7
3,2.0,Bengals,Isaac Curtis 17 yard pass from Ken Anderson (Horst Muhlmann kick),10,14
4,3.0,Bengals,Lenvil Elliott 2 yard rush (Horst Muhlmann kick),10,21
5,3.0,Bengals,Lenvil Elliott 12 yard pass from Ken Anderson (Horst Muhlmann kick),10,28
6,3.0,Cardinals,Mel Gray 28 yard pass from Jim Hart (Jim Bakken kick),17,28
7,4.0,Bengals,Boobie Clark 3 yard rush (Horst Muhlmann kick),17,35
8,4.0,Cardinals,Donny Anderson 11 yard rush (Jim Bakken kick),24,35
9,4.0,Bengals,Bob Trumpy 3 yard pass from Ken Anderson (Horst Muhlmann kick),24,42
