,Quarter,Tm,Detail,CHI,PHI
0,1.0,Bears,Kevin Butler 37 yard field goal,3,0
1,1.0,Bears,Curtis Conway 32 yard pass from Jim Harbaugh (Kevin Butler kick),10,0
2,2.0,Bears,Jim Harbaugh 1 yard rush (Kevin Butler kick),17,0
3,4.0,Eagles,Calvin Williams 7 yard pass from Bubby Brister,17,6
