,Quarter,Tm,Detail,TAM,NOR
0,1.0,Saints,John Tice 8 yard pass from Bobby Hebert (Morten Andersen kick),0,7
1,1.0,Saints,John Tice 6 yard pass from Bobby Hebert (Morten Andersen kick),0,14
2,1.0,Buccaneers,Vinny Testaverde 1 yard rush (Donald Igwebuike kick),7,14
3,2.0,Saints,Rueben Mayes 7 yard rush (Morten Andersen kick),7,21
4,2.0,Saints,Dalton Hilliard 3 yard rush (Morten Andersen kick),7,28
5,2.0,Buccaneers,Donald Igwebuike 37 yard field goal,10,28
6,3.0,Saints,Morten Andersen 40 yard field goal,10,31
7,3.0,Saints,Rueben Mayes 2 yard rush (Morten Andersen kick),10,38
8,3.0,Buccaneers,Mark Carrier 37 yard pass from Vinny Testaverde (Donald Igwebuike kick),17,38
9,3.0,Buccaneers,Donald Igwebuike 43 yard field goal,20,38
10,4.0,Saints,Morten Andersen 24 yard field goal,20,41
11,4.0,Buccaneers,Bruce Hill 12 yard pass from Vinny Testaverde (Donald Igwebuike kick),27,41
12,4.0,Saints,Morten Andersen 32 yard field goal,27,44
13,4.0,Buccaneers,Bobby Howard 2 yard rush (Donald Igwebuike kick),34,44
