,Quarter,Tm,Detail,DEN,HOU
0,1.0,Oilers,Toni Fritsch 31 yard field goal,0,3
1,1.0,Broncos,Dave Preston 7 yard pass from Craig Morton (Jim Turner kick),7,3
2,2.0,Oilers,Earl Campbell 3 yard rush (Toni Fritsch kick),7,10
3,4.0,Oilers,Toni Fritsch 20 yard field goal,7,13
