,Quarter,Tm,Detail,RAM,CHI
0,2.0,Rams,Mike Lansford 45 yard field goal,3,0
1,2.0,Bears,Kevin Butler 35 yard field goal,3,3
2,3.0,Bears,Brad Muster 1 yard rush (Kevin Butler kick),3,10
3,4.0,Bears,Jim Harbaugh 1 yard rush (Kevin Butler kick),3,17
4,4.0,Rams,Greg Bell 1 yard rush (Mike Lansford kick),10,17
5,4.0,Bears,Kevin Butler 46 yard field goal,10,20
