,Quarter,Time,Tm,Detail,CHI,MIN
0,1.0,7:44,Bears,Eddy Pineiro 26 yard field goal,3,0
1,1.0,0:48,Bears,Eddy Pineiro 33 yard field goal,6,0
2,2.0,9:21,Vikings,Dan Bailey 37 yard field goal,6,3
3,2.0,6:11,Bears,"Safety, Mike Boone tackled in end zone by Nick Kwiatkoski",8,3
4,2.0,1:56,Bears,Eddy Pineiro 34 yard field goal,11,3
5,2.0,0:02,Vikings,Dan Bailey 38 yard field goal,11,6
6,3.0,9:58,Bears,David Montgomery 14 yard rush (Eddy Pineiro kick),18,6
7,4.0,14:17,Vikings,Mike Boone 1 yard rush (Dan Bailey kick),18,13
8,4.0,8:59,Vikings,Dan Bailey 39 yard field goal,18,16
9,4.0,4:57,Vikings,Dan Bailey 34 yard field goal,18,19
10,4.0,0:12,Bears,Eddy Pineiro 22 yard field goal,21,19
