,Quarter,Tm,Detail,PHI,PIT
0,2.0,Steelers,Ed Kissell 24 yard field goal,0,3
1,3.0,Steelers,Elbie Nickel 52 yard pass from Jim Finks (Ed Kissell kick),0,10
2,4.0,Eagles,Pete Pihos 24 yard pass from Adrian Burk (Bobby Walston kick),7,10
3,4.0,Steelers,Lynn Chandnois 5 yard rush (Ed Kissell kick),7,17
