,Quarter,Time,Tm,Detail,NWE,NYJ
0,1.0,,Patriots,Matt Bahr 41 yard field goal,3,0
1,2.0,,Patriots,Curtis Martin 2 yard rush (Matt Bahr kick),10,0
2,2.0,,Patriots,Matt Bahr 29 yard field goal,13,0
3,3.0,,Patriots,Curtis Martin 9 yard rush (Matt Bahr kick),20,0
4,4.0,,Jets,Brad Baxter 1 yard rush (Nick Lowery kick),20,7
