,Quarter,Time,Tm,Detail,NOR,CAR
0,1.0,,Panthers,Muhsin Muhammad 1 yard pass from Steve Beuerlein (John Kasay kick),0,7
1,2.0,,Panthers,Eric Davis 56 yard interception return (John Kasay kick),0,14
2,2.0,,Saints,Doug Brien 49 yard field goal,3,14
3,2.0,,Panthers,John Kasay 54 yard field goal,3,17
4,3.0,,Panthers,Fred Lane 5 yard rush (John Kasay kick),3,24
5,4.0,,Saints,Cam Cleeland 2 yard pass from Billy Joe Tolliver (Doug Brien kick),10,24
6,4.0,,Panthers,Rocket Ismail 33 yard pass from Steve Beuerlein (John Kasay kick),10,31
7,4.0,1:55,Saints,Brett Bech 6 yard pass from Billy Joe Tolliver (Doug Brien kick),17,31
