,Quarter,Time,Tm,Detail,DET,MIA
0,1.0,,Dolphins,Troy Drayton 27 yard pass from Dan Marino (Olindo Mare kick),0,7
1,1.0,,Lions,Jason Hanson 26 yard field goal,3,7
2,1.0,,Dolphins,Karim Abdul-Jabbar 1 yard rush (Olindo Mare kick),3,14
3,2.0,,Dolphins,Olindo Mare 19 yard field goal,3,17
4,2.0,,Lions,Barry Sanders 7 yard rush (Jason Hanson kick),10,17
5,2.0,,Dolphins,Olindo Mare 33 yard field goal,10,20
6,3.0,,Dolphins,Olindo Mare 21 yard field goal,10,23
7,3.0,,Lions,Johnnie Morton 35 yard pass from Scott Mitchell,16,23
8,4.0,,Lions,Bryant Westbrook 64 yard interception return,22,23
9,4.0,,Dolphins,Troy Drayton 23 yard pass from Dan Marino (Olindo Mare kick),22,30
10,4.0,,Lions,Herman Moore 16 yard pass from Scott Mitchell (Herman Moore pass from Scott Mitchell ),30,30
11,4.0,,Dolphins,Olindo Mare 42 yard field goal,30,33
