,Quarter,Tm,Detail,HOU,PIT
0,1.0,Oilers,Joe Dawkins 1 yard rush (Mark Moseley kick),7,0
1,1.0,Steelers,Roy Gerela 28 yard field goal,7,3
2,2.0,Oilers,Mark Moseley 24 yard field goal,10,3
3,2.0,Steelers,Roy Gerela 22 yard field goal,10,6
4,3.0,Oilers,Joe Dawkins 1 yard rush,16,6
5,3.0,Steelers,Roy Gerela 12 yard field goal,16,9
6,4.0,Steelers,Terry Bradshaw 1 yard rush (Roy Gerela kick),16,16
7,4.0,Steelers,John Fuqua 30 yard rush (Roy Gerela kick),16,23
