,Quarter,Tm,Detail,OAK,PIT
0,1.0,Raiders,Ken Stabler 1 yard rush (George Blanda kick),7,0
1,2.0,Raiders,Cliff Branch 19 yard pass from Ken Stabler (George Blanda kick),14,0
2,2.0,Raiders,George Blanda 35 yard field goal,17,0
