,Quarter,Tm,Detail,BUF,KAN
0,1.0,Bills,John Leypoldt 45 yard field goal,3,0
1,1.0,Chiefs,Jan Stenerud 48 yard field goal,3,3
2,2.0,Bills,John Leypoldt 31 yard field goal,6,3
3,2.0,Chiefs,Jan Stenerud 23 yard field goal,6,6
4,2.0,Bills,John Leypoldt 49 yard field goal,9,6
5,2.0,Chiefs,Jan Stenerud 48 yard field goal,9,9
6,3.0,Chiefs,Jan Stenerud 45 yard field goal,9,12
7,3.0,Chiefs,Bobby Bell 26 yard interception return (Jan Stenerud kick),9,19
8,4.0,Chiefs,Jan Stenerud 34 yard field goal,9,22
