,Quarter,Time,Tm,Detail,IND,ATL
0,1.0,6:59,Falcons,Morten Andersen 34 yard field goal,0,3
1,1.0,3:44,Falcons,Roddy White 48 yard pass from Joey Harrington (Morten Andersen kick),0,10
2,2.0,14:42,Colts,Reggie Wayne 23 yard pass from Peyton Manning (Adam Vinatieri kick),7,10
3,2.0,11:35,Falcons,Morten Andersen 30 yard field goal,7,13
4,2.0,6:45,Colts,Dallas Clark 8 yard pass from Peyton Manning (Adam Vinatieri kick),14,13
5,2.0,2:38,Colts,Ben Utecht 5 yard pass from Peyton Manning (Adam Vinatieri kick),21,13
6,3.0,5:05,Colts,Joseph Addai 4 yard rush (Adam Vinatieri kick),28,13
7,3.0,0:32,Colts,Adam Vinatieri 24 yard field goal,31,13
